path,bucket,content_review,navigation_review,metadata_review,source_review,validator,independent_review,notes
README.md,1A,pass,pass,pass,pass,pass,pass,"Wave 1A no-change; maintenance file"
architecture/index.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
architecture/planner-and-capabilities.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
architecture/product.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
architecture/provenance.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
architecture/runtime.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
architecture/semantic-model.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
architecture/ui-architecture.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
backend/index.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
changelog/index.md,1A,pass,pass,pass,pass,pass,pass,"Wave 1A no-change; independent review approved"
frontend/control-room/index.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/index.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/meshing/airbox-mesh.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/meshing/build-lifecycle.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/meshing/fdm-grid-view.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/meshing/index.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/meshing/object-mesh.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/meshing/python-round-trip.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/meshing/quality-and-reports.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/meshing/region-mesh.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/state-and-commands/index.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
frontend/visualization/index.md,1B,pass,pass,pass,pass,pass,pass,"Wave 1B reviewed; independent review approved"
getting-started/choosing-a-solver.md,1A,pass,pass,pass,pass,pass,pass,"Wave 1A reviewed and remediated; independent review approved"
getting-started/control-room.md,1A,pass,pass,pass,pass,pass,pass,"Wave 1A reviewed and remediated; independent review approved"
getting-started/first-fdm-simulation.md,1A,pass,pass,pass,pass,pass,pass,"Wave 1A reviewed and remediated; independent review approved"
getting-started/first-fem-simulation.md,1A,pass,pass,pass,pass,pass,pass,"Wave 1A reviewed; independent review approved"
getting-started/index.md,1A,pass,pass,pass,pass,pass,pass,"Wave 1A reviewed; independent review approved"
getting-started/installation.md,1A,pass,pass,pass,pass,pass,pass,"Wave 1A reviewed and remediated; independent review approved"
index.md,1A,pass,pass,pass,pass,pass,pass,"Wave 1A reviewed; independent review approved"
numerical-methods/demag-solvers/fdm-convolution.md,3D,pass,pass,pass,pass,pass,pass,"Wave 3D reviewed; independent re-review approved"
numerical-methods/demag-solvers/fem-bem.md,3D,pass,pass,pass,pass,pass,pass,"Wave 3D reviewed; independent re-review approved"
